Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
Main Street Geneseo,Main St. Geneseo looking south from the rooftops,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.21 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0098,photograph; b&w,
Main Street Geneseo,Main St. Geneseo looking north from the rooftops,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0099,photograph; b&w,
Bank Street Geneseo,"Bank St. Geneseo, looking east. ",Unknown,1966,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.75 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0100,photograph; b&w,
Bronze Bear Statue,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.55 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0101,photograph; b&w,
Geneseo,Geneseo N.Y. view from above,Mrs. Burton Dougherty,1913,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0102,photograph; b&w,
Main Street Geneseo,Main St. Geneseo looking south from the rooftops,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.41 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0103,photograph; b&w,
Wadsworth Office,Office of Congressman Wadsworth Sr. and office of congressman Wadsworth jr. Corner Main St and North St,Wilcox Photo Studio ,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0104,photograph; b&w,
Main Street Geneseo,Main St. Geneseo view of the fountain and bronze bear statue and woman crossing the street,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0105,photograph; b&w,
Wadsworth Riding a Horse [check],Wadsworth seated on horse wearing a bowler. Original: glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0106,photograph; b&w,
Still a Bachelor,"Wedding Car with, ""Still a Bachelor!"" sign attached to front bumper.",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.63 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0107,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0108,photograph; b&w,
Church,Original: glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0109,photograph; b&w,
,Original: glass plate negative,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0110,photograph; b&w,
Trains Meeting,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0111,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.74 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0112,photograph; b&w,
Athletic Center,H.P.E & R. East Face,Unknown,1967-08-03,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0113,photograph; b&w,
Athletic Center,Physical Education Building to right and Electric sub station to left.,Unknown,1965-03-25,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0114,photograph; b&w,
Athletic Center,Building #6 Gymnasium floor showing construction. Verso: there is a sub-basement beneath,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.25 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0115,photograph; b&w,
Athletic Center,Building #6 Gymnasium floor. Verso: warped as a result of sewer line overflowing ,Unknown,1955-03-17,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.14 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0116,photograph; b&w,
Athletic Center,Building #6 Gymnasium floor. Verso: warped as a result of sewer line overflowing ,Unknown,1955-03-17,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.25 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0117,photograph; b&w,
Athletic Center,H.P.E & R. North Face,Unknown,1967-08-03,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0118,photograph; b&w,
Athletic Center,Looking west from field house construction ,Roger Smith,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0119,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building west face,Unknown,1965,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0120,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building north face,Unknown,1965,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0121,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building north-east face,Unknown,1965-03-25,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0122,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building south-east face,Unknown,1965-03-25,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0123,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0125,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,1965,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 14.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0126,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0127,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0128,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0129,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.33 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0130,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building dedication 1965,Unknown,1965,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.75 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0131,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building construction,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.80 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0132,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building construction of 2nd floor facing north-west,Unknown,1964-03-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0133,photograph; b&w,
Bailey Hall,Guy A. Bailey Science Building construction and early excavation,Unknown,1963-10-02,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0134,photograph; b&w,
Blake Hall,Anne S. Blake Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.40 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0135,,
Blake Hall,Anne S. Blake Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0136,postcard; col.,
Blake Hall,Anne S. Blake Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 17.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0138,,
Blake Hall,Anne S. Blake Building,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0139,photograph; b&w,
